Variety ,Photo,Cond,Ci,Trmmol,VpdL,CTleaf,Tair,Tleaf,TBlk,CO2R,CO2S,H2OR,H2OS,RH_R,RH_S,Flow,PARi,PARo,Press,CsMch,HsMch,fda,Trans,Tair_K,Twall_K,R(W/m2),Tl-Ta,SVTleaf,h2o_i,h20diff,CTair,SVTair,CndTotal,vp_kPa,VpdA,CndCO2,Ci_Pa,Ci/Ca,RHsfc,C2sfc,AHs/Cs,zscore
L04-17FL3,20.24115061,0.510870809,286.510094,8.570542766,1.891423958,34.73660405,35.5363884,34.73660405,35.44557571,397.9476013,369.8347982,26.77231661,36.68664042,46.09423828,63.16385651,499.6478373,1500.812337,952.6114299,100.1749039,26.17510986,0.269793123,0.832746396,0.008570543,307.8866041,308.6863884,240.1299686,-1.492822392,5.566504636,55.56785603,18.88121561,35.13649623,5.691206242,0.432982814,3.675080678,2.016125564,0.276678004,28.70112113,0.774697514,69.80902684,360.2131246,0.039227178,1.124427348
L04-17FL4,19.6164402,0.459161797,282.4583982,8.089017205,1.955765541,34.81152471,35.57777786,34.81152471,35.51254018,397.9171855,370.7612203,26.91469638,36.27536901,46.23419571,62.31400426,499.6810201,1499.353149,1503.26652,100.1759542,26.17510986,0.269793123,0.8328017,0.008089017,307.9615247,308.7277779,239.8964985,-1.252122638,5.589685245,55.79867235,19.52330334,35.19465129,5.709541893,0.395255886,3.633919703,2.07562219,0.25207825,28.29553955,0.761833731,68.42715828,361.4365041,0.037137767,0.442884032
N♂FL1,18.41957459,0.608166827,292.3518394,11.34694772,2.121423905,38.77682877,40.45991516,38.77682877,40.54189555,388.2817078,361.2410177,35.47463862,48.44023005,46.47173691,63.45664469,499.6593831,1500.280273,1523.395386,99.53056335,21.60496902,0.228505492,0.832765639,0.011346948,311.9268288,313.6099152,240.0448384,-2.767219802,6.942707291,69.75452622,21.31429617,39.61837196,7.263834134,0.500902005,4.821283386,2.442550748,0.321207574,29.09794327,0.809298565,73.25244966,352.4852341,0.03827902,0.73329157
N♂FL2,17.60675738,0.617603403,297.7693214,11.48708856,2.119965441,38.83995946,40.5926946,38.83995946,40.68551763,389.7008667,363.5487467,35.57478968,48.6944224,46.27297338,63.33799235,499.7577515,1499.899536,1353.098633,99.52674357,21.60496902,0.228505492,0.832929586,0.011487089,311.9899595,313.7426946,239.9839204,-2.828551912,6.966362735,69.99488263,21.30046022,39.71632703,7.302036671,0.507285296,4.846397294,2.455639377,0.325408836,29.63601092,0.819062971,73.42730046,355.1793375,0.036398975,-0.200773397
N♂FL3,18.81235649,0.453749515,287.6214553,7.889673502,1.928418076,34.54045741,35.43675232,34.54045741,35.3935318,399.6149902,373.4866943,26.58170001,35.71724955,46.01607641,61.83079656,499.6661987,1499.059611,627.3228963,100.1699092,26.17510986,0.269793123,0.832776998,0.007889674,307.6904574,308.5867523,239.8495324,-1.131447348,5.506211719,54.96872029,19.25147074,34.98860486,5.644808069,0.391240204,3.577793643,2.067014427,0.249465346,28.81101505,0.770098271,68.36783548,364.544201,0.035281348,0.230397965
N♂FL4,18.05611832,0.523026292,299.6698569,8.599613152,1.861024188,34.58327738,35.39824168,34.58327738,35.34453583,399.4145813,373.8735453,26.57143211,36.52013016,46.09725444,63.35667928,499.6966756,1498.875285,1493.990641,100.1721878,26.17510986,0.269793123,0.832827793,0.008599613,307.7332774,308.5482417,239.8200402,-1.509689209,5.519325514,55.09838249,18.57825234,34.99075953,5.645481725,0.441682803,3.658301326,1.987180399,0.282364467,30.01858509,0.801527361,70.15857878,365.2905314,0.034679022,0.366704673
RASPCTEFL1,15.06234168,0.287946553,244.182539,7.395838309,2.648185685,39.44010544,40.83366648,39.44010544,40.90332794,369.5670878,348.3817444,37.22593943,45.70279185,47.78255463,58.66329447,499.5599162,1500.531535,1705.972778,99.48120626,22.17074585,0.244342014,0.83259986,0.007395838,312.5901054,313.9836665,240.0850402,-0.784751305,7.194754552,72.32275143,26.61995958,40.13688596,7.468040934,0.261437975,4.546568867,2.921472067,0.1655901,24.29157358,0.700905442,64.48527203,341.2218285,0.028465358,-0.068974871
RASPCTEFL2,16.36054012,0.368424714,260.2868637,8.595781136,2.465878673,39.34858449,40.79435476,39.34858449,40.83276113,375.208547,351.9274292,37.34567006,47.18168767,48.03584162,60.68740972,499.6056824,1500.581665,1874.314535,99.47996521,22.17074585,0.244342014,0.832676137,0.008595781,312.4985845,313.9443548,240.093061,-1.391202057,7.159511318,71.96937899,24.78769132,40.07146962,7.442006772,0.326117842,4.693632645,2.748374128,0.207244649,25.8933281,0.739603807,67.58163001,344.150412,0.032127567,-0.355824143
RASPCTEFL3,20.0133531,0.450281793,283.2187083,6.882784156,1.699051187,33.11910248,34.35250854,33.11910248,34.36841965,400.2223206,373.102417,25.8223877,33.80905533,47.47438049,62.15784454,499.5888672,1499.961182,1387.322144,100.1791916,25.79377937,0.296031803,0.832648112,0.006882784,306.2691025,307.5025085,239.9937837,-0.564329545,5.086015018,50.76917609,16.96012076,33.73580551,5.264773808,0.388659809,3.386963831,1.877809976,0.247786965,28.37262124,0.759091057,69.89215663,363.5890274,0.038471359,0.045977826
RASPCTEFL4,16.37391638,0.366376147,259.8223661,8.564408979,2.469084412,39.34763336,40.79488373,39.34763336,40.83324432,375.2154236,351.9315186,37.3452301,47.14569473,48.03402328,60.63953018,499.6069641,1500.589478,1873.78125,99.48016357,22.17074585,0.244342014,0.832678274,0.008564409,312.4976334,313.9448837,240.094311,-1.374900894,7.159145836,71.96556156,24.81986683,40.07125854,7.441922895,0.324512226,4.690061424,2.751861471,0.206207213,25.84717148,0.738275353,67.5177961,344.1481429,0.032123688,-0.035430355
